ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
-1.81,9.73,-4.68,-3.11,3.07,-4.02,23.52,15.71,-42.56,49395
-7.19,6.45,-2.52,-3.61,3.56,-4.07,22.79,21.24,-36.77,49429
-10.02,3.75,-3.11,-3.30,3.33,-3.92,20.89,26.13,-29.57,49463
-6.66,4.85,-3.77,-2.54,2.36,-3.13,18.01,30.05,-24.06,49498
-6.46,6.86,-5.60,-2.12,1.78,-2.62,14.15,32.49,-20.07,49532
-7.19,6.85,-4.63,-2.15,1.87,-2.17,11.09,34.23,-15.48,49566
-6.31,7.26,-5.78,-1.93,1.55,-1.78,8.83,34.70,-12.41,49600
-6.42,7.28,-4.81,-1.62,1.13,-1.40,7.00,34.39,-9.95,49634
-4.70,6.27,-4.95,-1.18,0.59,-0.99,4.72,34.65,-7.83,49668
-5.42,5.99,-4.53,-1.36,0.74,-1.05,3.23,34.33,-5.89,49703
-6.78,2.52,-5.61,-2.33,1.77,-1.47,0.82,34.11,-2.12,49737
-10.06,-1.86,-8.72,-3.39,3.22,-2.23,-3.58,32.36,2.35,49771
-10.13,-3.66,-11.61,-3.51,3.28,-2.92,-8.77,29.47,5.70,49805
-10.97,-1.50,-8.04,-2.93,2.54,-3.49,-15.52,26.06,9.37,49839
-5.91,5.55,-1.80,-3.06,2.65,-3.65,-20.71,21.86,10.96,49874
-6.90,8.36,-2.15,-3.08,2.74,-3.63,-26.24,16.82,11.15,49908
-5.60,8.58,-2.08,-3.13,2.75,-3.10,-31.03,10.77,10.06,49942
-7.52,6.75,-3.52,-3.04,2.69,-2.24,-34.10,6.02,7.09,49976
-7.59,5.35,-5.19,-2.29,1.80,-1.89,-37.42,1.24,5.57,50010
-7.62,3.63,-3.20,-1.64,1.25,-1.52,-38.86,-1.67,4.53,50044
-7.53,3.92,-4.72,-1.54,1.48,-1.56,-39.49,-4.56,2.44,50079
-7.38,4.41,-4.93,-1.49,1.46,-1.51,-40.91,-7.82,-0.26,50113
-6.00,5.60,-5.45,-0.97,0.92,-1.36,-41.23,-10.11,-2.54,50147
-7.27,5.67,-3.72,-0.81,0.66,-1.19,-41.73,-12.29,-3.26,50181
